IsiLaporan,kategori
dahlan iskan bumn kecewa kerja pln daerah panggul kabupaten trenggalek jawa timur madam listrik kali pemberitahuan sebelumny,8
macet jokowi gubernur pilih bus trans sesuai janji buah kampanye tumpang tumpuk halte kendara pribadi,8
bandara cengkareng beranda salut pt angkasa pura ii milik halte halte nyaman bus damri minggu operasi orang tenaga cs dasar ama,8
tarif rupiah commuter line jabodetabek layan buruk kereta telat mogok telat berangkat rurut moda transportasi macet,8
warga negara indonesia nikmat pln simpang gelombang kandis kabupaten siak provinsi riau sentuh pt pln lokasi tepa,8
kondisi kereta ekonomi bogor kereta ekonomi bogor sukabumi prihatin jendela pintu ac bangku layak ganti lihat sanding krl kereta rel listrik commuter line rupa kesenj,8
bijak pt kai kereta api indonesia commuter line khusus wanita bantu padat tumpang sayang armada alokasi tuju kes sia sia,8
tri lingkung hidup hutan indikasi janggal bangun dermaga sui sumpit paloh sambas kalimantan barat apbd provinsi multi years sk,8
hubung rencana realisasi aktif jalur kereta mati jalan lihat lahan pt kereta api indonesia dialihfungsikan dijualbelikan masyarakat khusus,8
listrik mati tanjungpinang senang mesin tidur terang beli mesin mesin manusia rusak istirahat mesin atur,8
presiden tanjungpinang provinsi pulau riau alami mati lampu daya madam kali mati lampu siang,8
shelter bus transjakarta polda daerah sudirman kondisi jelek rusak utama jembatan lihat hitam keropos jalan kali lintas aga,8
presiden tolong perhati kerja pln tanjungpinang provinsi pulau riau listrik seringkali mati alas daya sedia kota tanjungpinang i,8
lebar jalan nyata pakai dagang kaki lima pkl mubadzir daerah pusat grosir cililitan pgc kerja lebar jalan lebar jalan selesai,8
tertib dagang kali lima pkl wilayah pasar gembrong duren sawit jam pulang kerja macet parah wilayah,8
agustus baca berita bangun mrt http detik com read rute mrt dago soreang informasi update progressnya masyarakat project mr,8
provinsi jalur sepeda banjir kanal timur resmi sterilisasi pakai kendara motor ujung macet akibat terjad,8
tinggal kota palembang alami betapa macet beranta kota palembang maksimal atur lintas jalan jalan utama truk truk bes,8
atur kendara truk kontainer lintas malam jam malam perhati lintas kota khusus jalan tol kota sian,8
tolong sore jam pulang kerja stasiun lenteng agung macet pom bensin halte taman stasiun lenteng agung orang menyebrang jalan fasilitas mumpuni jembatan pe,8
kali pulau bal sayang kelola wisata kamar mandi wisata pantai banding jmlah wisatawan kes kotor solat kotor halaman lihat tanjung ben,8
jakartasaya albert kartawinata citra blok i barat bbm bapakdengan nick albert tolong kemarin mall taman palem jalan rusak macet,8
desa pidada gedung karya jitu rawa jitu selatan kabupaten tulang bawang lampung kena biaya rupiah rumah pasang listrik pln usaha listrik negara kolektif apak,8
keluh kena lamban layan pln kota makassar wilayah hertasning daya listrik makan minggu laku halaman rupa butuh jel,8
jalan pisang ii pisang timur pulogadung jalan meter lebar meter meter rusak berat salur nya lebar meter rusak parah hujan air got masuk,8
daerah kebayoran pinangsia jembatan seberang jalur kereta api anak anak sekolah jalan aman anak anak,8
urus warga r w johar pusat salur air jalan cetak negara smp kali sentiong hujan menit langsung banjir kali aja lebar ta,8
kondisi infrastruktur upa jalan kebon kacang pusat dampak banjir musim hujan jalan laku mall metro tanah abang,8
wakil gubernur hormat tolong bantu gorong gorong bongkar layak alas jalan rusak banjir bongkar pintu rumah tutup y,8
tolong benah fungsi trotoar jalan juanda istana presiden jak pus trotoar alih fungsi dagang parkir motor jalan aja susah salur air penuh sampah bau,8
koh ahok usul halte busway roxy mas ramai unjung jpo macet,8
salur air jalan krtradjiman rw jatinegara mampet rt ku kena banjir,8
pemda zainudin warga rt rw rambutan ciracas sd inpres jokowi kunjung kampanye sungai luap hujan deras tutup jalan jalan aspal hingg bel,8
makam malam taur terang nyala lampu terang kabulkantolong tegur suara dengar resah tolong bantutiap malam gang,8
jalan batu kencana pulomas rt kayu putih pulogadungjakarta timur aspal rusak parah tahantolong bantu,8
na im ketua serikat rakyat miskin indonesia tingkat bantu aspal jalan hsa anan kembang utara barat bantu,8
rawan lintas dukung bowo maulana jembatan parah perhati dr karet tengsin tanah abang pusat,8
pra musrenbang tingkat rw cbu timur warga semangat merespon halaman kali action kait utama jalan lingkung mht khusus rw cipinang b,8
wakil gubernur warga komplek cirendeu permai kondisi jalan rumah jalan cirendeu permai wilayah lebak bulus alami tingkat rusa parah,8
jalan batu kencana pulomas rt kayu putih pulogadung timur aspal rusak parah tolong tinjau,8
mataram ntb listrik kota padam kali durasi padam menit ganggu aktivitas cepat rusak alat elektronik rumah,8
jalan hayam wuruk trotoar pakai parkir mobil unjung toko rampas hak pejal kaki susah jalan nyaman selamat,8
hormatuntuk jalur kereta api express super cepat tanah terowongan multi fungsi tanah atur usaha bumn kereta api indonesia direktorat jenderal hubung darat,8
provinsi transjakarta koridor masjid agung harmoni pesona rebranding laku transjakarta masuk papan informasi jembatan penyeber,8
lampu lintas jalan juanda veteran stasiun juanda halte transjakarta juanda mati kemarin sulit menyebrang jalan lampu coba patuh menyebrang zebra cross utama,8
lampu merah mall ambassador macet kembang jembatan penyebrangan orang negara uang jalan non macet atur lintas jalan tertib parkir,8
ahok tolong terjun tim selidik calo nomer antri rusun marundakarna lapang orang masuk huni jual belikan nomer undi fakta pakwartawan dr detik com tem,8
terang fly over klender ganti ditambahkarena celaka tindak jahat pasang cctv moga tindak,8
prihal jalan batas pademangan tuju sunter bongkar jalan habis dana sudaaah puluh sd sampa,8
usul jalan boulevard kelapa gading trotoar bagus trotoar kotor,8
warga jalan budi mulya rt rw pademangan barat dinas kait perhati jalan budi mulya jalan lubang ganggu aktivitas warga,8
selamat malam mahasiswa fakultas hukum universitas mpu tantular cipinang utara pedati tolong perhati sungai kampus hutan sampah rumput l,8
larang parkir hayam wuruk gajah mada laku pagi siang malam parkir trotoar sulit pejal kaki parkir baris jalan mace,8
kendara motor lintas jalan pondok indah kebon jerukdijalur trsebut jalan berlubangpadahal sktar lebar jalandiwilayah tersebuttetapi aneh kerja tutup lubang menga,8
pakai setia busway transjakarta bus transjakarta jurus cawang grogol no b iv jam sore bus turun tumpang bundar slip tunggu bus,8
kenal warga jalan pulo raya rt rw petogogan selatan salur buang air benah jugasehingga hujan turun banjir perhati,8
provinsi drainase wilayah keruk khusus utara musim hujan banjir,8
sekarwati gunawan komplek bukit duri permai blok c jatinegara barat keluran kampung melayu jatinegara memberitahukan kena sampah pintu air manggarai angkut berita bogor air sungai ciliwung data,8
tinjau program normalisasi kali grogol realisasi gandaria utara kebayoran halaman sifat layan masyarakat terimaaksih,8
jalan simprug permata rumah pribadi tutup got beton got bersih banjir rumah langgar laku makan areal got maksud untu,8
perhati jalan layang jalan raya arah pluit grogol lobang petrus,8
arah pang jayakarta byk terobos lampu merah buka usaha ekspedisi truk parkir smbrangan susah lurus polisi cepek tanggung masyarakat dagang mangga sepi murid universitas moestopo jalan hang lekir pakai trotoar jalan parkir efek langgar asa lingkung jalan hang lekir arteri lintas,8
denny web data solusindo senin jumat macet jalan permpatan taman anggrek parah ancurnya kli lubang jalan om responnya,8
daerah simprug pintu senayan city ujung jalan simprug golf simprug golf hang lekir temu sesuai rencana tata ruang wilayah provinsi rtrwp jalur hijau ban,8
tolong bantu bantu jagal jaring teluk gong bantu,8
wagub tolong jalan tipar cakung jembatan banjir tolong salur buang air nya,8
sungai cakung barat khusus pt wintrad cakung barat timur urug oknum tanggung,8
ahok busway koridor arah kalideres tlg diperbyk antri tq,8
selamat pagihanya informasi underpass mayor gandhi school jalan landas pacu rs mitra mayor pusat tutup air action walikota air dibiarka,8
hormat tolong jalan wadas lebar trotoar pejal kaki bahaya pejal kaki alamat gadung kalideres,8
selamat pagisaya harap jokowi ahok provinsi bekerjasama polisi bekerjasama tertib angkut duli selamat tumpang contoh kebut,8
selamat pagi wagub dagang pd pasar ganefo keluh kena sampah lambat angkut puluh moga tindak,8
provinsi informasi arah jalan kampung melayu arah jalan kuningan jalan lubang licin batu kerikil celaka sepeda motor jatuh,8
selamat siang wagub warga rt rw tanjung sanyangkelurahan cawangbila kenan bantu alat angkat lumpur tebalkami info rosyefa achmad mujiantotrimakasih,8
selamat siang e ticketing bus transjakarta laku jurus blok m kota tuju antri tumpang halaman praktis jamin antri tumpang masuk bus men,8
selamat sore wagub warga rt rw teluk gong jagal jaring bantu air sedot kekal,8
perhati jalan daerah daan mogot persis dir lantas satpas sim pisah jalan jalur busway jalan rawan celaka sudh libat kendara motor kurun da,8
informasi daerah jalan wahid hasyim tuju tanah abang pagi siang parkir liar jalur jalur kondisi meny,8
tinggal sunter deret sunter mall kerja gali rusak beton halaman toko selesai kerja timbun tanah perhati ya semen ulang kembal,8
jalan rusak lubang temu kramat jati cililitan jalan panjaitan jatinegara pulogadung tutup daerah mngalami jalan rusak,8
selamat pagi pakuntuk jalan lubang adu ya korban tinggal pakapalagi jalur stiap makan korban akibat lubang jalan jalur,8
warga tinggal daerah pecinan glodok pancoran genang mukim sekolah banjir bantu air cepat surut minggu,8
tinggal rusun cakung rgtc blok mahoni kelola rusun lagikarena air rusun blok mahoni mati blok air mati tim kelola takut u,8
ahok tolong dagang tumpah pasar minggu khusus area polsek dagang makan lajur lajur meter super ruwet,8
teman teman honor sekolah negeri adu khusus tata usaha sma jaga sekolah sudh timpa banjir honor kunjung bayar sma sekolah hidup layak ironis delematis,8
selamat siang perhati jalan jalan wilayah khusus timur cililitan uki jalan jalan jalan lubang bahaya jalan khusus,8
selamat siang wagub tolong turun pompa pluit jalan pompa ribu karyawan pluit village ribu siswa sekolah pompa hidup pluit ribu kerja pluit kerja tolong m,8
wagub bantu gera daerah teluk gong jalan lele belah banjir surut surut tolong tindak,8
informasi anak maphar taman sari barat ktp istri lampir surat pindah tanggerang tugas uang rupiah prosedur,8
bc kena fly over jembatan pluit arah grogol lobang meter rubuh ambruk retak situ hati hatisdh makan korbanlsg tinggal please sebar teman korbanterlepas in,8
malam jalan busway kendara pribadi tolong tindak jalur pakai jalur busway arah blok m kota pusat kota polisi diam tolong tindak enak mobil pribadi,8
selamat malam p jokowi p ahok musim hujan jalan rusak sgr mgkn kering tlbh tuntut hukum dr masy ps uu korban akbt jalan rusak sgrlah dinas,8
lubang jembatan seberang busway halte bi bolong minggu bahaya,8
info daerah kapuk raya jak barat rabu januari banjir pinggang hr karen dangkal sungai angke kali jalan tuju sungai angke tindak lanjutiterima,8
chika pondok gede info bus transjakarta koridor malam jam arah blok m kota bus arah normal akibat tumpu tumpang pintu masuk menit,8
warga jambar tolong jalan daerah jambar kav polri blok a trima,8
warga tinggal kalideres jalan peta selatan barat hidup nyaman proyek bangun gedung mewah multi jalan bangun rumah rumah berde,8
bill daan mogot barat aspal jalan cengkareng pesing rusa akibat banjir dinas kait,8
kepala keliling wilayah pasca banjir kepala jambar jarang tinjau wilayah,8
jalan gunung sahari mangga square arah mangga jalan lubang lubang nya trus jembatan arah pesing jalan jalan nya lubang bikin macet parah,8
bantu bendung pondok indah alir persis wilayah rw kondisi retak tdak antisipasi takut situ gintung ciputat th i,8
tolong dinas bersih angkut sampah kapuk gang sinar gunung ganggu sehat anak sekolah masyarakat ihan kapuk rt rw,8
bus transjakarta byk parkir doang pool damro daan mogot jalan bus jalan byk kondisi prihatin,8
selamat siang jalan uob plaza thamrin lubang jalur cepat sudirman tuju thamrin lancar sendat jalan lubang tolong ya,8
huda tinggal menteng pulo selatan jalan lubang pasar menteng,8
selamat pagi wakil gubernur informasi jalan patimura lubang m dalem cm lebar cm letak al azhar mtr departemen kerja lajur arah blok m,8
puskesmas pulogebang rutin rs penuh batas orang layan kecewa dokter rapat masyarakat ba,8
wagub wilayah glogok sampah got dibersikan jalan rusak budi perhati nya,8
tolong jalan pluit lampu merah arah auto pluit lubang lebar korban terplosok trima,8
selamat siang keluh urus pbb lambat walikota barat lantai,8
bus jurus kampung melayu blok m jalan bus no layan jurus kampung melayu blok m kampung melayu kali n,8
terbit e ktp kartu sehat molor kalisari pasar rebo timur,8
selamat siangsaya tolong bebas ringan bayar tunggak rupiah rupiah tinggal rumah susun tipar cakung tinggal istri beker,8
gimna layan rusun marunda kambing aja giring ksna kmri kunci pgi antri klurahn jam janjiin nyampek marunda ktanya ksih kunci nyampe mlm mlah buka kunci rusun malh jdi orang ter,8
selamat malam habis tonton kunjung basuki rumah susun marunda ide huni ber profesi nelayan usul bangun lelang ikan marunda warga,8
selamat siang teman laku survey warga kena rumah susun tambora bongkar tekan intimidasi tolong jokowi bongkar rumah,8
selamat siang bantu krl ekonomi bogor tanah abang jadwal pagi rangkai salah rangkai batal alas perhati kondisi gerbong rangkai gelap p,8
harap perhati tindak kondisi bersih jalan kapuk raya kapuk cengkareng barat paska banjir timbul tumpu sampah,8
selamat pagi kenal christian developer pasar klender ss timur mengiadapi dagang kaki lima hambat kembang pasar keluhk,8
tolong trotoar taman jalur hijau got kios dagang rw samping pasar karina sayang rw mobil madam samping rusun mudah banjir pejal nyamaan hasil b,8
selamat siang wagub arie rs hermina hadap kena sp l rs hermina daan mogot alhamdulilah proses biro tata ruang alami luas lahan parkir rs hermina jatine,8
busway koridor cepat operasi halte coret coret anak sekolah iseng,8
masak pt sucofindo merger pt surveyor tunggak fasos fasum pemda,8
selamat malem had jalan palmerah barat rayadri slip palmerah utara palmerah barat polsek palmerahizinkan kep gubuntk tinjau lokasi malam jam s jam pagi,8
harmoni arah blok m tumpang pingsan nungguin busway zhongtong satgas diem aja ampe tumpang ngamuk tolongin pingsatr gara busway zhongtong gk blok m tlg tegur dimarahin thx,8
pasar klender belah fly over klender dagang kaki lima jual fly over stasiun klender resmi foke walikota jaktim tertib tahan jamur p,8
sepeda motor ganggu kondisi jalan jalan lubang jalan kerja khusus jalan antasari kolong jembatan layang blok m antasari kendara sepe,8
sampah tumpuk jalan jambar jaya jambar grogol tambur tanggap alas sampah tumpuk ganggu warga gun,8
warga jalandisepanjang jalan gatot subrototerutama selter busway semanggi gerombol lubang lubang takut ditindaklanjutin selamat,8
pindai kartu jackcard halte dukuh transit kuningan ancol pegang kartu antri beli karcis biaya rugi beli jackcard halaman,8
milik rencana bijak one day no car mobil macet contoh masyarakat kendara,8
selamat pagi basukitolong busway koridor rute grogol harmoni krna tunggu nya jam kondisi bus nya tidnumpang prioritastrimakasih nyamanac nyaladan pnuh walopun pd jam sibuk,8
selamat siang wakil gubernur menberitahukan kena jalan raya belah kiri stasiuan kereta api kota arah tuju mangga raya rusak gelombang perhati menguca,8
jalan cideng raya rs tara mobil parkir sembarang makan ruas jalan ganggu jalan akibat macet jalan tolong tindak,8
selamat pagi provinsi pagi celaka maut daerah relasi kebun jeruk korban menyebrang bus transjakarta lintas arah kebun jeruk kencang tinggal dunia,8
selamat malam ahoksaya subur hariyanto jalan pluit rt no lokasi rusunawa marunda sbenarnya nyaman akses mobil kontainersampai x hitung pakai jari sayang warga penjaringa,8
selamat pagi wagub wakil dagang pasar klender ss resah tutup akses pintu gang lele ketua rw bangun lapak kaki lima dagang pasar kirim surat bongkar,8
tolong asrama pacu kuda gereja jemaat kesitu ibadah adakalanya masuk jalan gereja pacu kuda becek musim panas debu pacu kuda pulo,8
shalom teman domisili kalipasir e ktp klurahn cikini menteng staff klurahn temn kenakn biaya rb trus tawar rb oknum brsangkutn tanyakn harga e ktp mahal tolong,8
jalan jalan ringroad arah puri kembang bararatada jalan retak akibat hujan malam kendara sepeda motor tergelicir,8
mht plus vol m biaya jt kerja tolong cek komputer alamat rw rawa badak utara urus rw,8
got got jalan kapuk raya rt rw tolong got diurusin kemarin saudra cebur got lihat jalan batas got soalnyaini ma,8
kondisi jalan keliling sekolah sd tugu utara koja utara kondisi jalan turun hujan banjir kasihan anak anak sd lalang sepatu basah kadang jatuh j,8
warga komplek pertamina jalan berlian blok m rt tugu utara koja tolong bantu bersih salur got mampet komplek ujung buang salur got air got,8
chandra madam listrik kebun jeruk maphar tamansari barat tolong tinjau,8
tolong daerah jembatan trotoar batas arus arah bantu tertib aspal jalan akibat warga bolak lintas trotoar,8
bantu lancar lintar lenteng agung penyebrang jalan bantu bangun jembatan penyebrangan station kereta lenteng agung kondisi langsung sentuh dinas perhu,8
selamat pagi rudy rt rw karang anyar rw pergi negeri calon,8
kendara tumpang tipe kopaja asap menganggu jalan supir kendara ugal ugalan kopaja jurus lebak bulus blok m rawan copet rencana provinsi jak,8
jembatan penyebrangan kampus universitas pancasila bongkar ganti tolong bongkar gubuk sisi rel hun kumuh,8
warga jambar info uang siluman oknum uang administrasi ktp lantai admin wanita foto laki laki tolong tindak,8
selamat siang salur air jalan kapuk raya cengkareng barat penuh sedimen bantu dinas kait eru hujan timbul banjir tumpu karung isi pasir,8
keluh kondisi transjakarta gps pasang halte busway akurat antri transjakarta koridor halte matraman tuju pulo gadung atur rapi tumpang rebut dorong dorong sa,8
urus imb tata ruang memberika informasi tarif resmi imb hitung masuk akal puluh juta bayar retribusi resmi t,8
ditindaklanjuti tertib dagang ecer buah pasar buah angkedi stasion kereta api angke jembatan lima pakai badan jalan kiri kanan pasar sayur mitra jembatan limasumber macet sekolah bhine,8
aptb transjakarta kena biaya rupiah halte busway sumur bor kena biaya bayar rupiah,8
